max_power,num_null,ok,c00_max,delta_from_reference,rows
0,0,False,nan,nan,7
1,1,False,nan,nan,8
2,3,True,0.0003424135364354332,-2.9996575864635644,10
3,6,True,0.00030170657313260984,-2.9996982934268672,13
4,10,True,0.00030098616035901843,-2.999699013839641,17
5,15,True,0.00029747378690252256,-2.9997025262130976,22
6,21,True,0.00029738599822300095,-2.999702614001777,28
8,36,True,0.0002970280524704686,-2.9997029719475297,43
10,55,True,0.00029690863842869166,-2.9997030913615714,62
