c10,c20_max,c20_min,label,max_nl,ok,seconds_max,seconds_min,status_max,status_min,x,y_max,y_min
-2.0866045684891508,nan,nan,NL6,6.0,False,0.5415041446685791,0.5463011264801025,INFEASIBLE,INFEASIBLE,-0.8679308620933551,nan,nan
-2.0864316526405093,nan,nan,NL6,6.0,False,0.5461761951446533,0.5467510223388672,INFEASIBLE,INFEASIBLE,-0.8678589371086948,nan,nan
-2.0862587367918684,nan,nan,NL6,6.0,False,0.5496189594268799,0.5457091331481934,INFEASIBLE,INFEASIBLE,-0.8677870121240345,nan,nan
-2.086085820943227,nan,nan,NL6,6.0,False,0.49532604217529297,0.5428118705749512,INFEASIBLE,INFEASIBLE,-0.8677150871393741,nan,nan
-2.085912905094586,nan,nan,NL6,6.0,False,0.5433909893035889,0.5441410541534424,INFEASIBLE,INFEASIBLE,-0.8676431621547138,nan,nan
-2.0857399892459445,nan,nan,NL6,6.0,False,0.5455880165100098,0.5107297897338867,INFEASIBLE,INFEASIBLE,-0.8675712371700534,nan,nan
-2.085567073397303,nan,nan,NL6,6.0,False,0.5474891662597656,0.5464389324188232,INFEASIBLE,INFEASIBLE,-0.867499312185393,nan,nan
-2.085394157548662,nan,nan,NL6,6.0,False,0.5389068126678467,0.5063529014587402,INFEASIBLE,INFEASIBLE,-0.8674273872007328,nan,nan
-2.0852212417000207,nan,nan,NL6,6.0,False,0.5042788982391357,0.5551412105560303,INFEASIBLE,INFEASIBLE,-0.8673554622160723,nan,nan
-2.0850483258513797,nan,nan,NL6,6.0,False,0.5447328090667725,0.507641077041626,INFEASIBLE,INFEASIBLE,-0.867283537231412,nan,nan
-2.0848754100027382,nan,nan,NL6,6.0,False,0.5131552219390869,1.131465196609497,INFEASIBLE,NUMERIC,-0.8672116122467516,nan,nan
-2.0847024941540973,nan,nan,NL6,6.0,False,0.5507071018218994,0.5508072376251221,INFEASIBLE,INFEASIBLE,-0.8671396872620913,nan,nan
-2.084529578305456,nan,nan,NL6,6.0,False,0.5469558238983154,0.5104031562805176,INFEASIBLE,INFEASIBLE,-0.867067762277431,nan,nan
-2.0843566624568144,nan,nan,NL6,6.0,False,0.5519230365753174,0.5505430698394775,INFEASIBLE,INFEASIBLE,-0.8669958372927705,nan,nan
-2.0841837466081734,nan,nan,NL6,6.0,False,0.553901195526123,0.5586450099945068,INFEASIBLE,INFEASIBLE,-0.8669239123081103,nan,nan
-2.084010830759532,nan,nan,NL6,6.0,False,0.553041934967041,0.547144889831543,INFEASIBLE,INFEASIBLE,-0.8668519873234498,nan,nan
-2.083837914910891,nan,nan,NL6,6.0,False,0.5524919033050537,0.5467450618743896,INFEASIBLE,INFEASIBLE,-0.8667800623387896,nan,nan
-2.0836649990622496,nan,nan,NL6,6.0,False,0.5501289367675781,0.5547521114349365,INFEASIBLE,INFEASIBLE,-0.8667081373541292,nan,nan
-2.083492083213608,nan,nan,NL6,6.0,False,0.5607988834381104,0.5979940891265869,INFEASIBLE,INFEASIBLE,-0.8666362123694688,nan,nan
-2.083319167364967,nan,nan,NL6,6.0,False,0.5578742027282715,0.6028242111206055,INFEASIBLE,INFEASIBLE,-0.8665642873848085,nan,nan
-2.0831462515163257,nan,nan,NL6,6.0,False,0.5613069534301758,0.5556919574737549,INFEASIBLE,INFEASIBLE,-0.866492362400148,nan,nan
-2.0829733356676847,nan,nan,NL6,6.0,False,0.5551900863647461,0.5550961494445801,INFEASIBLE,INFEASIBLE,-0.8664204374154878,nan,nan
-2.0828004198190433,nan,nan,NL6,6.0,False,0.5611679553985596,0.5532619953155518,INFEASIBLE,INFEASIBLE,-0.8663485124308274,nan,nan
-2.0826275039704023,nan,nan,NL6,6.0,False,0.6028859615325928,0.561913013458252,INFEASIBLE,INFEASIBLE,-0.8662765874461672,nan,nan
-2.082454588121761,nan,nan,NL6,6.0,False,0.6007530689239502,0.5525479316711426,INFEASIBLE,INFEASIBLE,-0.8662046624615067,nan,nan
-2.0822816722731194,nan,nan,NL6,6.0,False,1.5537910461425781,0.52103590965271,NUMERIC,INFEASIBLE,-0.8661327374768463,nan,nan
-2.0821087564244785,nan,nan,NL6,6.0,False,0.5165491104125977,0.6005949974060059,INFEASIBLE,INFEASIBLE,-0.866060812492186,nan,nan
-2.081935840575837,nan,nan,NL6,6.0,False,0.6066188812255859,0.5603387355804443,INFEASIBLE,INFEASIBLE,-0.8659888875075257,nan,nan
-2.081762924727196,nan,nan,NL6,6.0,False,0.6577818393707275,0.6066849231719971,INFEASIBLE,INFEASIBLE,-0.8659169625228654,nan,nan
-2.0815900088785546,nan,nan,NL6,6.0,False,0.5621371269226074,0.8206751346588135,INFEASIBLE,INFEASIBLE,-0.865845037538205,nan,nan
-2.081417093029913,nan,nan,NL6,6.0,False,0.552077054977417,0.574699878692627,INFEASIBLE,INFEASIBLE,-0.8657731125535446,nan,nan
-2.081244177181272,nan,nan,NL6,6.0,False,0.6544361114501953,0.6533300876617432,INFEASIBLE,INFEASIBLE,-0.8657011875688844,nan,nan
-2.0810712613326308,nan,nan,NL6,6.0,False,0.6091139316558838,0.6100149154663086,INFEASIBLE,INFEASIBLE,-0.8656292625842239,nan,nan
-2.0808983454839898,nan,nan,NL6,6.0,False,0.6016209125518799,0.6084520816802979,INFEASIBLE,INFEASIBLE,-0.8655573375995637,nan,nan
-2.0807254296353483,nan,nan,NL6,6.0,False,0.5544800758361816,0.6123392581939697,INFEASIBLE,INFEASIBLE,-0.8654854126149032,nan,nan
-2.080552513786707,nan,nan,NL6,6.0,False,0.5500900745391846,0.5617349147796631,INFEASIBLE,INFEASIBLE,-0.8654134876302428,nan,nan
-2.080379597938066,nan,nan,NL6,6.0,False,0.5561790466308594,0.5610029697418213,INFEASIBLE,INFEASIBLE,-0.8653415626455826,nan,nan
-2.0802066820894245,nan,nan,NL6,6.0,False,0.5607168674468994,0.5550777912139893,INFEASIBLE,INFEASIBLE,-0.8652696376609221,nan,nan
-2.0800337662407835,nan,nan,NL6,6.0,False,0.5748300552368164,0.5581488609313965,INFEASIBLE,INFEASIBLE,-0.8651977126762619,nan,nan
-2.079860850392142,nan,nan,NL6,6.0,False,0.5535857677459717,0.5599291324615479,INFEASIBLE,INFEASIBLE,-0.8651257876916014,nan,nan
-2.079687934543501,nan,nan,NL6,6.0,False,0.6068539619445801,0.6259939670562744,INFEASIBLE,INFEASIBLE,-0.8650538627069412,nan,nan
-2.0795150186948597,nan,nan,NL6,6.0,False,0.7046909332275391,0.6511881351470947,INFEASIBLE,INFEASIBLE,-0.8649819377222808,nan,nan
-2.0793421028462182,nan,nan,NL6,6.0,False,0.6104590892791748,0.6065268516540527,INFEASIBLE,INFEASIBLE,-0.8649100127376204,nan,nan
-2.0791691869975772,nan,nan,NL6,6.0,False,0.6066739559173584,0.618361234664917,INFEASIBLE,INFEASIBLE,-0.8648380877529601,nan,nan
-2.078996271148936,nan,nan,NL6,6.0,False,0.6187610626220703,0.6542742252349854,INFEASIBLE,INFEASIBLE,-0.8647661627682997,nan,nan
-2.078823355300295,nan,nan,NL6,6.0,False,0.6148900985717773,0.6675121784210205,INFEASIBLE,INFEASIBLE,-0.8646942377836394,nan,nan
-2.0786504394516534,nan,nan,NL6,6.0,False,0.6651551723480225,0.7025771141052246,INFEASIBLE,INFEASIBLE,-0.864622312798979,nan,nan
-2.078477523603012,nan,nan,NL6,6.0,False,0.6130669116973877,0.6699848175048828,INFEASIBLE,INFEASIBLE,-0.8645503878143186,nan,nan
-2.078304607754371,nan,nan,NL6,6.0,False,0.6583938598632812,0.6108899116516113,INFEASIBLE,INFEASIBLE,-0.8644784628296583,nan,nan
-2.0781316919057296,nan,nan,NL6,6.0,False,0.6607842445373535,0.6019082069396973,INFEASIBLE,INFEASIBLE,-0.8644065378449979,nan,nan
-2.0779587760570886,nan,nan,NL6,6.0,False,0.7076270580291748,0.6550261974334717,INFEASIBLE,INFEASIBLE,-0.8643346128603376,nan,nan
-2.077785860208447,nan,nan,NL6,6.0,False,0.608668327331543,0.8047399520874023,INFEASIBLE,INFEASIBLE,-0.8642626878756773,nan,nan
-2.077612944359806,nan,nan,NL6,6.0,False,0.605349063873291,0.6662757396697998,INFEASIBLE,INFEASIBLE,-0.864190762891017,nan,nan
-2.0774400285111647,nan,nan,NL6,6.0,False,0.7026119232177734,0.663689136505127,INFEASIBLE,INFEASIBLE,-0.8641188379063566,nan,nan
-2.0772671126625233,nan,nan,NL6,6.0,False,0.6618728637695312,0.6614983081817627,INFEASIBLE,INFEASIBLE,-0.8640469129216961,nan,nan
-2.0770941968138823,nan,nan,NL6,6.0,False,0.6581230163574219,0.6562049388885498,INFEASIBLE,INFEASIBLE,-0.8639749879370359,nan,nan
-2.076921280965241,nan,nan,NL6,6.0,False,0.6568048000335693,0.6548941135406494,INFEASIBLE,INFEASIBLE,-0.8639030629523755,nan,nan
-2.0767483651166,nan,nan,NL6,6.0,False,0.700049877166748,0.6548840999603271,INFEASIBLE,INFEASIBLE,-0.8638311379677153,nan,nan
-2.0765754492679585,nan,nan,NL6,6.0,False,0.757256031036377,0.6629219055175781,INFEASIBLE,INFEASIBLE,-0.8637592129830548,nan,nan
-2.076402533419317,nan,nan,NL6,6.0,False,0.6588661670684814,0.7065720558166504,INFEASIBLE,INFEASIBLE,-0.8636872879983943,nan,nan
-2.076229617570676,nan,nan,NL6,6.0,False,0.701038122177124,0.7544200420379639,INFEASIBLE,INFEASIBLE,-0.8636153630137341,nan,nan
-2.0760567017220346,nan,nan,NL6,6.0,False,0.7081048488616943,0.7557468414306641,INFEASIBLE,INFEASIBLE,-0.8635434380290737,nan,nan
-2.0758837858733936,nan,nan,NL6,6.0,False,0.7504551410675049,0.7625961303710938,INFEASIBLE,INFEASIBLE,-0.8634715130444135,nan,nan
-2.075710870024752,nan,nan,NL6,6.0,False,0.8416519165039062,0.8435139656066895,INFEASIBLE,INFEASIBLE,-0.863399588059753,nan,nan
-2.075537954176111,nan,nan,NL6,6.0,False,0.948267936706543,0.8482320308685303,INFEASIBLE,INFEASIBLE,-0.8633276630750928,nan,nan
-2.0753650383274698,nan,nan,NL6,6.0,False,1.0960099697113037,0.9528172016143799,INFEASIBLE,INFEASIBLE,-0.8632557380904323,nan,nan
-2.0751921224788283,nan,nan,NL6,6.0,False,2.398085117340088,1.1041629314422607,INFEASIBLE,INFEASIBLE,-0.863183813105772,nan,nan
-2.0750192066301874,nan,nan,NL6,6.0,False,1.555577039718628,1.275700330734253,INFEASIBLE,INFEASIBLE,-0.8631118881211117,nan,nan
-2.074846290781546,nan,nan,NL6,6.0,False,1.5073511600494385,1.415992021560669,INFEASIBLE,INFEASIBLE,-0.8630399631364513,nan,nan
-2.074673374932905,nan,nan,NL6,6.0,False,1.8266589641571045,1.361360788345337,INFEASIBLE,INFEASIBLE,-0.862968038151791,nan,nan
-2.0745004590842635,nan,nan,NL6,6.0,False,3.6407108306884766,1.6221790313720703,INFEASIBLE,INFEASIBLE,-0.8628961131671306,nan,nan
-2.0744831674994,nan,nan,NL6,6,False,5.864058017730713,7.811756134033203,SUBOPTIMAL,SUBOPTIMAL,-0.8628889206686648,nan,nan
-2.074465875914535,nan,nan,NL6,6,False,15.198223114013672,6.963109254837036,SUBOPTIMAL,INFEASIBLE,-0.8628817281701985,nan,nan
-2.074448584329671,nan,nan,NL6,6,False,7.988760709762573,15.716531038284302,SUBOPTIMAL,INFEASIBLE,-0.8628745356717324,nan,nan
-2.074431292744807,nan,nan,NL6,6,False,11.055519104003906,12.362724781036377,INFEASIBLE,SUBOPTIMAL,-0.8628673431732665,nan,nan
-2.074414001159943,nan,nan,NL6,6,False,5.47359299659729,13.411622762680054,INFEASIBLE,SUBOPTIMAL,-0.8628601506748004,nan,nan
-2.074411530933534,nan,nan,NL6,6,False,12.504525899887085,7.543212175369263,SUBOPTIMAL,SUBOPTIMAL,-0.8628591231750197,nan,nan
-2.074409060707124,nan,nan,NL6,6,False,7.514512062072754,10.86243987083435,INFEASIBLE,INFEASIBLE,-0.8628580956752384,nan,nan
-2.074406590480715,nan,nan,NL6,6,False,13.023913860321045,9.161511898040771,SUBOPTIMAL,INFEASIBLE,-0.8628570681754577,nan,nan
-2.074404120254306,nan,nan,NL6,6,False,5.8834638595581055,9.305377960205078,INFEASIBLE,INFEASIBLE,-0.8628560406756769,nan,nan
-2.074403502697704,nan,nan,NL6,6,False,9.489520072937012,12.249682903289795,SUBOPTIMAL,SUBOPTIMAL,-0.8628557838007318,nan,nan
-2.074402885141101,nan,nan,NL6,6,False,6.389155864715576,5.5120391845703125,SUBOPTIMAL,INFEASIBLE,-0.8628555269257863,nan,nan
-2.074402267584499,nan,nan,NL6,6,False,11.315667152404785,7.624482154846191,SUBOPTIMAL,SUBOPTIMAL,-0.8628552700508412,nan,nan
-2.074401650027897,2.0174596267548277,2.0174433207689817,NL6,6,True,10.160301208496094,5.534855842590332,OPTIMAL,OPTIMAL,-0.862855013175896,0.8391697686906318,0.8391629861557105
