c10,c20,label,max_nl,ok,residual_inf,seconds,status,theta,x,y
-4.119753040747375e-09,1.211477994067815e-10,no_NL,0,True,3.132872157421136e-11,1.070871114730835,OPTIMAL,0.0,-1.7136264639047646e-09,5.0391873749215094e-11
-4.853824478421634e-10,5.709162526415512e-13,no_NL,0,True,3.403311096037294e-10,0.9708971977233887,OPTIMAL,0.03471373097889274,-2.0189661844058322e-10,2.3747471984932813e-13
-3.424131705905026e-10,1.8869960620644145e-11,no_NL,0,True,3.264299046350525e-10,0.8050849437713623,OPTIMAL,0.06942746195778549,-1.424280205414873e-10,7.849029680310744e-12
-1.3901900942319852e-10,1.5765376336221784e-12,no_NL,0,True,2.964275811419498e-10,0.9384489059448242,OPTIMAL,0.10414119293667823,-5.782546943401285e-11,6.557666402806162e-13
-2.1450215910585944e-10,8.21213935612089e-12,no_NL,0,True,1.337957564936306e-09,1.0009989738464355,OPTIMAL,0.13885492391557097,-8.922296379732221e-11,3.415869637508576e-12
-1.4684841475794083e-09,2.2636985263168284e-11,no_NL,0,True,4.1668473342232214e-11,0.9640147686004639,OPTIMAL,0.17356865489446371,-6.108213944446028e-10,9.415937466715261e-12
-5.340230017534004e-10,1.3397948251054129e-12,no_NL,0,True,5.317732160092055e-12,0.8536198139190674,OPTIMAL,0.20828238587335646,-2.2212883614316693e-10,5.572925963753363e-13
-1.9869563974543686e-09,2.961746195246761e-11,no_NL,0,True,9.696781290355886e-11,0.8861358165740967,OPTIMAL,0.2429961168522492,-8.264818380193459e-10,1.23194924776932e-11
-1.4349764169112325e-10,2.301281086807168e-12,no_NL,0,True,5.845063076016962e-12,1.1200461387634277,OPTIMAL,0.27770984783114194,-5.968837303539507e-11,9.57226351247713e-13
-1.4957008252420476e-10,5.045796503603921e-12,no_NL,0,True,8.471431254455316e-12,1.047044038772583,OPTIMAL,0.3124235788100347,-6.22142271846954e-11,2.098817655945029e-12
