c10,c20,label,max_nl,ok,residual_inf,seconds,status,theta,x,y
-2.0691292605358447,2.015165864730474,NL3,3,True,2.5437763007118974e-11,2.3746297359466553,OPTIMAL,0.0,-0.8606619433311183,0.8382156699211291
-2.069130055443296,2.015228449112467,NL3,3,True,8.113686389421559e-10,6.032699108123779,OPTIMAL,0.03471373097889274,-0.8606622739758031,0.8382417021255232
-2.0691355648873104,2.015343354473664,NL3,3,True,3.3832237011921507e-10,3.30792498588562,OPTIMAL,0.06942746195778549,-0.8606645656493502,0.8382894974340875
-2.0691587322280096,2.015600868471078,NL3,3,True,6.224299964330271e-10,4.899231910705566,OPTIMAL,0.10414119293667823,-0.8606742021901156,0.8383966113305834
-2.06917823442101,2.0157694613583366,NL3,3,True,2.3520092540252335e-09,5.1635730266571045,OPTIMAL,0.13885492391557097,-0.860682314199185,0.8384667381635209
-2.0691831681879496,2.0158004333813553,NL3,3,True,2.2953816625204126e-10,3.779278039932251,OPTIMAL,0.17356865489446371,-0.8606843664177306,0.8384796210906674
-2.069231472869867,2.0160639714005106,NL3,3,True,9.70005003051019e-10,7.392557144165039,OPTIMAL,0.20828238587335646,-0.8607044589282393,0.8385892407012128
-2.0692448063168953,2.0161217855751823,NL3,3,True,4.4533665644053144e-10,7.174906253814697,OPTIMAL,0.2429961168522492,-0.8607100050246816,0.8386132887202872
-2.069267897401126,2.0162104049728056,NL3,3,True,3.8709757621546714e-10,3.559976816177368,OPTIMAL,0.27770984783114194,-0.8607196098462878,0.8386501502854055
-2.069290217899677,2.016285632473367,NL3,3,True,2.6689511711808223e-09,6.260765314102173,OPTIMAL,0.3124235788100347,-0.86072889413994,0.8386814414415743
-2.069339531529427,2.016428009981641,NL3,3,True,2.599590098739668e-09,4.810622930526733,OPTIMAL,0.34713730978892743,-0.8607494063260188,0.8387406638909859
-2.0714215931390463,2.0218683125666996,NL3,3,True,1.294803153584212e-09,10.144481897354126,OPTIMAL,0.38185104076782017,-0.8616154475276236,0.8410035778057758
-2.0737157411999725,2.0273376478876233,NL3,3,True,5.67375724180863e-09,13.080830812454224,OPTIMAL,0.4165647717467129,-0.8625697068704617,0.8432785679940721
-2.0750239700263227,2.030171295039949,NL3,3,True,1.1402632214634577e-09,10.95754098892212,OPTIMAL,0.45127850272560566,-0.8631138694732934,0.8444572339727282
-2.0767448789254552,2.033525160576774,NL3,3,True,2.222377837313161e-11,2.542124032974243,OPTIMAL,0.4859922337044984,-0.8638296878736574,0.8458522867060927
-2.0801793738850063,2.0398623357224737,NL3,3,True,1.0919334325620866e-09,2.325474977493286,OPTIMAL,0.5207059646833911,-0.8652582787126284,0.848488258068614
-2.0802238288150137,2.039937449931327,NL3,3,True,1.56731205791516e-09,1.710942268371582,OPTIMAL,0.5554196956622839,-0.8652767699046388,0.8485195021006794
-2.0802677460669714,2.040005931289815,NL3,3,True,1.428808182879493e-10,2.8494720458984375,OPTIMAL,0.5901334266411766,-0.8652950374474823,0.8485479871741846
-2.0802992214821634,2.0400511659912004,NL3,3,True,6.950218178758405e-10,4.059588193893433,OPTIMAL,0.6248471576200694,-0.865308129762459,0.8485668027149742
-2.0803305938335397,2.0400933429755153,NL3,3,True,4.721114610362065e-10,3.1058311462402344,OPTIMAL,0.6595608885989621,-0.8653211792076615,0.8485843463870766
-2.080360724754624,2.040131230116842,NL3,3,True,5.965095084548011e-10,2.1753087043762207,OPTIMAL,0.6942746195778549,-0.8653337122753578,0.8486001056831745
-2.0803882458257896,2.0401628799476037,NL3,3,True,1.959346462854228e-09,2.221503973007202,OPTIMAL,0.7289883505567476,-0.8653451597663598,0.8486132705469502
-2.08040363690309,2.040179409940265,NL3,3,True,1.5953569576510063e-09,1.8068838119506836,OPTIMAL,0.7637020815356403,-0.8653515617416988,0.848620146258332
-2.0804507700827815,2.040227103282852,NL3,3,True,6.014098108408916e-10,1.5457589626312256,OPTIMAL,0.7984158125145331,-0.8653711669615382,0.8486399844799926
-2.080472225362943,2.040247003978086,NL3,3,True,3.190419040066672e-10,2.124955892562866,OPTIMAL,0.8331295434934258,-0.8653800913644116,0.8486482622475349
-2.080491545663457,2.0402639466166774,NL3,3,True,1.0218781376636343e-09,1.659703016281128,OPTIMAL,0.8678432744723186,-0.8653881277146308,0.8486553096005125
-2.0805050705324946,2.040275002993576,NL3,3,True,1.4841683437794018e-10,1.5713117122650146,OPTIMAL,0.9025570054512113,-0.8653937534337636,0.8486599085412404
-2.0805336539934216,2.0402965729167355,NL3,3,True,7.413034662876741e-10,3.1005141735076904,OPTIMAL,0.9372707364301041,-0.8654056428297031,0.8486688806302917
-2.0805786864893507,2.0403281748757363,NL3,3,True,8.231599846197923e-10,1.7584757804870605,OPTIMAL,0.9719844674089968,-0.8654243742623877,0.848682025581632
-2.080625624290602,2.040358936535882,NL3,3,True,3.782205215685508e-09,1.7908151149749756,OPTIMAL,1.0066981983878895,-0.8654438982138444,0.8486948210075661
-2.080663904152938,2.0403825228419756,NL3,3,True,1.4984402353906273e-09,1.5823230743408203,OPTIMAL,1.0414119293667823,-0.8654598208636938,0.8487046318185317
-2.0807269175150798,2.0404180714182734,NL3,3,True,3.3075076011357396e-10,2.1260008811950684,OPTIMAL,1.076125660345675,-0.8654860315039623,0.8487194183798851
-2.0808686763719506,2.0404914567396255,NL3,3,True,3.4928320236105037e-09,2.982915163040161,OPTIMAL,1.1108393913245678,-0.865544996623042,0.8487499432748211
-2.081042564497213,2.040575575381254,NL3,3,True,2.756523453939508e-09,3.678347110748291,OPTIMAL,1.1455531223034605,-0.8656173260297471,0.8487849327338921
-2.0813743306009,2.0407165085912022,NL3,3,True,5.113041101623139e-10,2.8026559352874756,OPTIMAL,1.1802668532823533,-0.8657553253635617,0.8488435544220909
-2.081621123879995,2.0408127399003484,NL3,3,True,1.1569791444208033e-09,3.376194953918457,OPTIMAL,1.214980584261246,-0.865857979937753,0.8488835821898668
-2.0818572810895972,2.040897775798318,NL3,3,True,2.4985347124584223e-11,1.997840166091919,OPTIMAL,1.2496943152401387,-0.8659562103996311,0.8489189531850944
-2.0820076058428048,2.0409453194400893,NL3,3,True,7.84594658803459e-10,3.2988688945770264,OPTIMAL,1.2844080462190315,-0.8660187385348684,0.8489387291381487
-2.082085609666108,2.040966895814871,NL3,3,True,2.7303923566535104e-09,3.7559471130371094,OPTIMAL,1.3191217771979242,-0.8660511845127162,0.8489477039107759
-2.0822040353485454,2.040994943131214,NL3,3,True,1.1744671901681158e-10,2.1150500774383545,OPTIMAL,1.353835508176817,-0.8661004441118775,0.8489593702953994
-2.08245244846979,2.0410448463817983,NL3,3,True,2.589934933183713e-10,2.801424026489258,OPTIMAL,1.3885492391557097,-0.8662037724653822,0.8489801277364378
-2.0828186957784665,2.0411048078816787,NL3,3,True,7.343261554382252e-10,2.6670279502868652,OPTIMAL,1.4232629701346025,-0.86635611438352,0.8490050689433486
-2.0832186250497173,2.0411556643127216,NL3,3,True,3.8793390721991727e-10,2.6543262004852295,OPTIMAL,1.4579767011134952,-0.8665224664381522,0.8490262228633124
-2.0834120916670877,2.0411740888739804,NL3,3,True,1.2188812181790354e-09,2.6665780544281006,OPTIMAL,1.492690432092388,-0.8666029395908216,0.8490338866274864
-2.0836173066543795,2.0411880714557378,NL3,3,True,9.344820472989568e-10,4.2762980461120605,OPTIMAL,1.5274041630712807,-0.8666882995212676,0.8490397027339122
-2.0838443124730617,2.0411949032006675,NL3,3,True,6.942448838032078e-10,3.820350170135498,OPTIMAL,1.5621178940501734,-0.8667827234283578,0.8490425444233994
-2.0839809752558787,2.0411945554133566,NL3,3,True,2.03088323935674e-09,4.21110987663269,OPTIMAL,1.5968316250290662,-0.8668395688166493,0.8490423997599854
-2.084365773749322,2.0411781414365247,NL3,3,True,7.98956900638359e-10,2.975314140319824,OPTIMAL,1.631545356007959,-0.8669996271684759,0.8490355723058155
-2.0846027051655915,2.0411581832190215,NL3,3,True,2.632629669818698e-10,1.3642382621765137,OPTIMAL,1.6662590869868517,-0.8670981796644712,0.8490272706116733
-2.0847887116491703,2.041138349695371,NL3,3,True,3.2020108786667834e-09,2.3108489513397217,OPTIMAL,1.7009728179657444,-0.8671755497469897,0.8490190207843987
-2.0849215957688405,2.0411203043527055,NL3,3,True,5.787412771240952e-10,3.6438326835632324,OPTIMAL,1.7356865489446371,-0.867230823386416,0.8490115147575966
-2.0850209242448847,2.041102585554621,NL3,3,True,1.131750915206453e-09,1.7879397869110107,OPTIMAL,1.7704002799235299,-0.8672721394321802,0.8490041445582168
