c00,c10_max,c10_min,level,ok_max,ok_min,optimizer_max,optimizer_min,prosta_max,prosta_min,raw_c00,raw_c10_max,raw_c10_min,residual_max,residual_min,seconds_max,seconds_min,status_max,status_min
0.001,nan,nan,3,False,False,skipped_after_infeasible_min,barrier_DualReductions0,skipped_after_infeasible_min,INF_OR_UNBD,0.001,nan,nan,nan,nan,0.0,5.201691150665283,skipped_after_infeasible_min,INF_OR_UNBD
0.00139880313027,nan,nan,3,False,False,skipped_after_infeasible_min,barrier_DualReductions0,skipped_after_infeasible_min,INF_OR_UNBD,0.00139880313027,nan,nan,nan,nan,0.0,5.211724042892456,skipped_after_infeasible_min,INF_OR_UNBD
0.00179760626055,nan,nan,3,False,False,skipped_after_infeasible_min,barrier_DualReductions0,skipped_after_infeasible_min,INF_OR_UNBD,0.00179760626055,nan,nan,nan,nan,0.0,5.117780685424805,skipped_after_infeasible_min,INF_OR_UNBD
0.00219640939082,nan,nan,3,False,False,skipped_after_infeasible_min,barrier_DualReductions0,skipped_after_infeasible_min,INF_OR_UNBD,0.00219640939082,nan,nan,nan,nan,0.0,6.241727113723755,skipped_after_infeasible_min,INF_OR_UNBD
0.0025952125211,nan,nan,3,False,False,skipped_after_infeasible_min,barrier_DualReductions0,skipped_after_infeasible_min,INF_OR_UNBD,0.0025952125211,nan,nan,nan,nan,0.0,6.200856685638428,skipped_after_infeasible_min,INF_OR_UNBD
0.00299401565137,-3.340924133934942e-05,-4.296397376347334e-05,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.00299401565137,-3.340924133934942e-05,-4.296397376347334e-05,1.0628831148551399e-11,2.4856082160309397e-10,10.160347938537598,16.338531255722046,OPTIMAL,OPTIMAL
0.00339281878165,-3.653647783704231e-05,-6.130686682087494e-05,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.00339281878165,-3.653647783704231e-05,-6.130686682087494e-05,3.1514790777009694e-12,5.575984118877386e-11,11.209890127182007,13.510426998138428,OPTIMAL,OPTIMAL
0.00379162191192,-4.361685094322258e-05,-7.72782131862015e-05,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.00379162191192,-4.361685094322258e-05,-7.72782131862015e-05,3.964828465541359e-12,2.7888464511765164e-10,12.357733964920044,13.203334093093872,OPTIMAL,OPTIMAL
0.00658324382385,-0.00010898933216673435,-0.0002026974749251204,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.00658324382385,-0.00010898933216673435,-0.0002026974749251204,1.0575131566827729e-10,4.481748305806832e-11,12.005396127700806,10.270678043365479,OPTIMAL,OPTIMAL
0.00937486573577,-0.000196300534691682,-0.00035981969987615767,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.00937486573577,-0.000196300534691682,-0.00035981969987615767,3.6052938412467483e-11,1.2457945786081837e-10,10.101659059524536,6.95292329788208,OPTIMAL,OPTIMAL
0.01216648764769,-0.00030312546937912726,-0.0005466484419151665,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.01216648764769,-0.00030312546937912726,-0.0005466484419151665,3.633815179308989e-11,1.3817055737721517e-11,9.830579042434692,8.316742897033691,OPTIMAL,OPTIMAL
0.01495810955961,-0.0004278015438727023,-0.000760695976091729,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.01495810955961,-0.0004278015438727023,-0.000760695976091729,7.099444476569885e-11,3.256417357988539e-11,9.394476652145386,9.857961177825928,OPTIMAL,OPTIMAL
0.01774973147154,-0.0005692960491994753,-0.0009995735921088614,3,True,True,barrier,barrier,OPTIMAL,OPTIMAL,0.01774973147154,-0.0005692960491994753,-0.0009995735921088614,5.356343890252736e-11,1.630553470022278e-10,10.530978679656982,7.790995121002197,OPTIMAL,OPTIMAL
