c00,c10_max,c10_min,level3_c10_max,level3_c10_min,num_feasible,num_points,num_unresolved,ok_max,ok_min,refine_pass,status
0.00299401565137,nan,nan,-3.340924133934942e-05,-4.296397376347334e-05,0,9,3,False,False,,no_feasible_unresolved
0.1233328602117505,-0.014638183739558152,-0.02014172241400472,-0.014522075328704849,-0.021209919793855107,18,29,0,True,True,,sampled_feasible_interval
0.243671704772131,-0.046605301266233884,-0.06033260935671415,-0.046605301266233884,-0.06552140045311577,15,19,0,True,True,,sampled_feasible_interval
0.3640105493325115,-0.08987520226449175,-0.11688938854345038,-0.08987520226449175,-0.12437669072719722,14,24,0,True,True,,sampled_feasible_interval
0.48434939389289194,-0.1438115468885047,-0.18804253762927142,-0.1438115468885047,-0.19703658310023514,17,24,0,True,True,,sampled_feasible_interval
0.6046882384532725,-0.20744772166232664,-0.2722830278656887,-0.20744772166232664,-0.2821878211415859,20,24,0,True,True,,sampled_feasible_interval
0.725027083013653,-0.2804436376834122,-0.36826701322797784,-0.2801005776226912,-0.3789018751103276,22,39,0,True,True,,sampled_feasible_interval
0.8453659275740335,-0.36226012401511304,-0.47567946193764166,-0.3612455101295441,-0.4864778525769112,26,39,0,True,True,,sampled_feasible_interval
0.965704772134414,-0.4523248934891757,-0.5939326140798544,-0.4504546028398648,-0.6043528048403005,26,39,0,True,True,,sampled_feasible_interval
1.0860436166947944,-0.5500851741625226,-0.7224649488379455,-0.548052562007682,-0.7329132885110732,29,49,0,True,True,,sampled_feasible_interval
1.2063824612551748,-0.655439039077645,-0.8608444340999356,-0.6535048224612632,-0.8714826254900359,36,49,1,True,True,,sampled_feasible_interval
1.3267213058155554,-0.7680629708070315,-1.00853741658233,-0.7660618641951403,-1.0190798319035121,25,49,0,True,True,,sampled_feasible_interval
1.447060150375936,-0.8876946575394161,-1.165701220367953,-0.8855135559601941,-1.1754322889521747,28,49,0,True,True,,sampled_feasible_interval
1.5673989949363163,-1.0142040176328302,-1.3317699515173822,-1.011668308010037,-1.3402962751240242,35,49,0,True,True,,sampled_feasible_interval
1.6877378394966969,-1.1473520538734516,-1.5067614374654192,-1.1443617222350082,-1.5134540844657451,32,49,0,True,True,,sampled_feasible_interval
1.8080766840570772,-1.2869812939561673,-1.6901072689388028,-1.2834510163045434,-1.6947085296982227,34,49,0,True,True,,sampled_feasible_interval
1.9284155286174578,-1.4329597754388976,-1.8776200103847744,-1.4288040723085622,-1.8776200103847744,18,29,0,True,True,,sampled_feasible_interval
2.0487543731778386,-1.5851952713530848,-2.013928339885836,-1.5805555745014581,-2.013928339885836,23,29,0,True,True,,sampled_feasible_interval
2.169093217738219,-1.7434656425675275,-2.0467274239048687,-1.739085865845026,-2.0522550041822325,36,49,0,True,True,,sampled_feasible_interval
2.2894320622985993,-1.907750689751807,-2.0680987607992964,-1.90385444399583,-2.077229019094419,30,49,0,True,True,,sampled_feasible_interval
2.3044744178686467,-1.9287440893783272,-2.0696578554530873,-1.9246048599789407,-2.0800959121993654,27,39,0,True,True,endpoint,sampled_feasible_interval
2.3195167734386946,-1.949735145240885,-2.07101770727113,-1.9453552759620516,-2.0829628053043123,24,39,0,True,True,endpoint,sampled_feasible_interval
2.334559129008742,-1.9709070422596273,-2.072223471820649,-1.9664361882735675,-2.0852921219337475,19,39,0,True,True,endpoint,sampled_feasible_interval
2.3496014845787894,-1.9921542264283683,-2.0732360940281898,-1.9878474700048647,-2.0870751380023806,28,39,0,True,True,endpoint,sampled_feasible_interval
2.364643840148837,-2.0134466634994834,-2.0740077778041606,-2.009415363908855,-2.08857542859757,18,39,0,True,True,endpoint,sampled_feasible_interval
2.3796861957188846,-2.034901042466439,-2.0745737372899438,-2.0312576317173416,-2.0895522037029,17,39,0,True,True,endpoint,sampled_feasible_interval
2.3947285512889325,-2.0564885959974215,-2.0748502991347904,-2.053486181802546,-2.0887798670321045,20,39,0,True,True,endpoint,sampled_feasible_interval
2.3951986249004964,-2.057165389925414,-2.074834551972554,-2.0541872166844364,-2.088726031183824,20,39,0,True,True,endpoint,sampled_feasible_interval
2.3956686985120603,-2.0578599873608407,-2.074849713712374,-2.0548882515663265,-2.088672195335543,20,39,0,True,True,endpoint,sampled_feasible_interval
2.3961387721236242,-2.058532849670447,-2.074837131674096,-2.055589286448217,-2.088618359487263,24,39,0,True,True,endpoint,sampled_feasible_interval
2.396608845735188,-2.059222641794513,-2.0748367813374644,-2.056290321330107,-2.0885645236389823,22,39,0,True,True,endpoint,sampled_feasible_interval
2.3970789193467525,-2.059891572485733,-2.0748486627024785,-2.056991356211998,-2.088510687790701,16,39,0,True,True,endpoint,sampled_feasible_interval
2.3975489929583165,-2.0605765592984384,-2.074837168754268,-2.0576923910938887,-2.0884568519424205,17,39,0,True,True,endpoint,sampled_feasible_interval
2.3980190665698804,-2.0612762916931673,-2.074839653893654,-2.058393425975779,-2.0884030160941403,17,39,0,True,True,endpoint,sampled_feasible_interval
2.3984891401814443,-2.0619555995015375,-2.074839188306174,-2.0590944608576693,-2.0883491802458596,17,39,0,True,True,endpoint,sampled_feasible_interval
2.3989592137930082,-2.062665272166929,-2.074837082531292,-2.0597954957395594,-2.088295344397579,9,29,0,True,True,endpoint,sampled_feasible_interval
2.399429287404572,-2.0633866324889345,-2.0747543665010384,-2.06049653062145,-2.0882415085492982,9,29,0,True,True,endpoint,sampled_feasible_interval
2.399899361016136,-2.0641027506530905,-2.074786334752171,-2.0611975655033405,-2.0881876727010176,10,29,0,True,True,endpoint,sampled_feasible_interval
2.4003694346277005,-2.0647225320883313,-2.0748340294768486,-2.0618986003852315,-2.088133836852737,17,29,0,True,True,endpoint,sampled_feasible_interval
2.4008395082392644,-2.0654307870157145,-2.074808977182928,-2.0625996352671216,-2.0880800010044562,12,29,0,True,True,endpoint,sampled_feasible_interval
2.4013095818508283,-2.06613379978525,-2.0748048935204007,-2.063300670149012,-2.0880261651561756,12,29,0,True,True,endpoint,sampled_feasible_interval
2.4017796554623922,-2.066831570396936,-2.074738547154972,-2.0640017050309023,-2.087972329307895,11,29,0,True,True,endpoint,sampled_feasible_interval
2.402249729073956,-2.067524098850775,-2.0747790218341566,-2.064702739912793,-2.087918493459614,11,29,0,True,True,endpoint,sampled_feasible_interval
2.40271980268552,-2.0682893743232107,-2.0747624759682877,-2.065403774794683,-2.0878646576113336,14,29,0,True,True,endpoint,sampled_feasible_interval
2.403189876297084,-2.0689687973824284,-2.0746967727941383,-2.0661048096765735,-2.087810821763053,12,29,0,True,True,endpoint,sampled_feasible_interval
2.403659949908648,-2.0697157253023954,-2.0746625225670794,-2.0668058445584636,-2.087756985914772,9,29,0,True,True,endpoint,sampled_feasible_interval
2.404130023520212,-2.070452168906666,-2.0745194734077628,-2.067506879440354,-2.0877031500664915,14,29,0,True,True,endpoint,sampled_feasible_interval
2.4046000971317762,-2.0712450715311768,-2.0740115881367127,-2.068208650866565,-2.0876417431200824,12,29,0,True,True,endpoint,sampled_feasible_interval
2.40507017074334,nan,nan,-2.0689350860054354,-2.087326812544918,0,9,0,False,False,endpoint,no_feasible_resolved
2.405540244354904,nan,nan,-2.069661521144306,-2.0870118819697536,0,9,0,False,False,endpoint,no_feasible_resolved
2.406010317966468,nan,nan,-2.070387956283177,-2.086696951394589,0,9,0,False,False,endpoint,no_feasible_resolved
2.406480391578032,nan,nan,-2.0711143914220473,-2.086382020819425,0,9,0,False,False,endpoint,no_feasible_resolved
2.406950465189596,nan,nan,-2.071840826560918,-2.08606709024426,0,9,0,False,False,endpoint,no_feasible_resolved
2.40742053880116,nan,nan,-2.0725687763031795,-2.085735121840914,0,9,0,False,False,endpoint,no_feasible_resolved
2.407890612412724,nan,nan,-2.073313741915852,-2.0852091687172214,0,9,0,False,False,endpoint,no_feasible_resolved
2.408360686024288,nan,nan,-2.074071248089486,-2.0845156799892472,0,9,0,False,False,endpoint,no_feasible_resolved
2.408830759635852,nan,nan,-2.07483958732509,-2.083671966616933,0,9,0,False,False,endpoint,no_feasible_resolved
2.409300833247416,nan,nan,-2.0756308154222607,-2.0826999882732897,0,9,0,False,False,endpoint,no_feasible_resolved
2.40977090685898,nan,nan,-2.076664740301413,-2.0815423541286817,0,9,0,False,False,,no_feasible_resolved
