J,J_index,j_max,label,max_null_power,mu,mu_index,n_mu,num_null_constraints,rho,rho_cutoff,rho_max,rho_over_max,setting_label
78.0,39,500,c20_min,6,83.04531122074455,10,150,21,7.0339658173596094e-06,1.0002513029524312e-08,1.0002513029524311,7.032198605088069e-06,"$N_\mu=200, J_{\max}=600, 21$ nulls"
72.0,36,500,c20_min,6,69.28633665604097,11,150,21,1.8932787121783347e-06,1.0002513029524312e-08,1.0002513029524311,1.8928030451847091e-06,"$N_\mu=200, J_{\max}=600, 21$ nulls"
66.0,33,500,c20_min,6,58.69548054098108,12,150,21,2.2614737173869193e-05,1.0002513029524312e-08,1.0002513029524311,2.2609055451482554e-05,"$N_\mu=200, J_{\max}=600, 21$ nulls"
60.0,30,500,c20_min,6,50.36982238461318,13,150,21,2.9722455493484088e-05,1.0002513029524312e-08,1.0002513029524311,2.9714988029260878e-05,"$N_\mu=200, J_{\max}=600, 21$ nulls"
56.0,28,500,c20_min,6,43.70660748103075,14,150,21,2.4463614822625017e-08,1.0002513029524312e-08,1.0002513029524311,2.445746858855972e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
22.0,11,500,c20_min,6,18.34972217471529,22,150,21,2.2948067453415297e-08,1.0002513029524312e-08,1.0002513029524311,2.294230198519085e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
20.0,10,500,c20_min,6,15.529615538716627,24,150,21,0.0007975099673083608,1.0002513029524312e-08,1.0002513029524311,0.0007973096010516148,"$N_\mu=200, J_{\max}=600, 21$ nulls"
20.0,10,500,c20_min,6,14.361834780236517,25,150,21,3.011343879993606e-08,1.0002513029524312e-08,1.0002513029524311,3.010587310513922e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
18.0,9,500,c20_min,6,13.323801750869984,26,150,21,0.0008101241006583349,1.0002513029524312e-08,1.0002513029524311,0.0008099205652290581,"$N_\mu=200, J_{\max}=600, 21$ nulls"
18.0,9,500,c20_min,6,12.396993992537098,27,150,21,0.0010110849499892396,1.0002513029524312e-08,1.0002513029524311,0.0010108309251933298,"$N_\mu=200, J_{\max}=600, 21$ nulls"
16.0,8,500,c20_min,6,10.818283948534644,29,150,21,0.002287177985190187,1.0002513029524312e-08,1.0002513029524311,0.0022866033550160325,"$N_\mu=200, J_{\max}=600, 21$ nulls"
8.0,4,500,c20_min,6,5.166717758290093,43,150,21,0.007355806562527418,1.0002513029524312e-08,1.0002513029524311,0.007353958491046562,"$N_\mu=200, J_{\max}=600, 21$ nulls"
8.0,4,500,c20_min,6,4.9532521346620495,44,150,21,1.236960552935234e-05,1.0002513029524312e-08,1.0002513029524311,1.2366497791945991e-05,"$N_\mu=200, J_{\max}=600, 21$ nulls"
6.0,3,500,c20_min,6,4.753768713267608,45,150,21,3.286570001919291e-08,1.0002513029524312e-08,1.0002513029524311,3.285744284679617e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
8.0,4,500,c20_min,6,4.753768713267608,45,150,21,1.4346194764329268e-07,1.0002513029524312e-08,1.0002513029524311,1.434259042900895e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
6.0,3,500,c20_min,6,4.567079436698498,46,150,21,0.002859518575061006,1.0002513029524312e-08,1.0002513029524311,0.0028588001501428646,"$N_\mu=200, J_{\max}=600, 21$ nulls"
6.0,3,500,c20_min,6,4.392119996640469,47,150,21,0.011230484687710448,1.0002513029524312e-08,1.0002513029524311,0.011227663142813756,"$N_\mu=200, J_{\max}=600, 21$ nulls"
6.0,3,500,c20_min,6,4.227934685511941,48,150,21,1.9402243598212e-08,1.0002513029524312e-08,1.0002513029524311,1.93973689821174e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,3.6629399287850775,52,150,21,0.03637982142327455,1.0002513029524312e-08,1.0002513029524311,0.036370681363665926,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,3.5412714789664257,53,150,21,4.769479697378788e-07,1.0002513029524312e-08,1.0002513029524311,4.7682814141813813e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,3.426304931346742,54,150,21,3.290565818400314e-08,1.0002513029524312e-08,1.0002513029524311,3.2897390972524464e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,2.773890886440047,61,150,21,1.0656020729374338e-08,1.0002513029524312e-08,1.0002513029524311,1.0653343512696334e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,2.6983963724171005,62,150,21,2.0617757815185198e-08,1.0002513029524312e-08,1.0002513029524311,2.0612577813523442e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,2.6265106719464213,63,150,21,3.300211438107327e-08,1.0002513029524312e-08,1.0002513029524311,3.299382293595748e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,2.5580133163680454,64,150,21,0.00037203313080028767,1.0002513029524312e-08,1.0002513029524311,0.0003719396612652855,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.4927005638028117,65,150,21,1.0335008030863674e-08,1.0002513029524312e-08,1.0002513029524311,1.0332411465356697e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,2.4927005638028117,65,150,21,0.005038875448950895,1.0002513029524312e-08,1.0002513029524311,0.005037609482814668,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.4303839021975486,66,150,21,0.012209828548833995,1.0002513029524312e-08,1.0002513029524311,0.012206760953766691,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.3708887064659216,67,150,21,0.00187938390166016,1.0002513029524312e-08,1.0002513029524311,0.0018789117255961602,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.314053031862566,68,150,21,2.814898891283648e-07,1.0002513029524312e-08,1.0002513029524311,2.8141916766066096e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.259726528024246,69,150,21,2.0460026903995447e-08,1.0002513029524312e-08,1.0002513029524311,2.0454886530618658e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
0.0,0,500,c20_min,6,2.2077694600846987,70,150,21,0.005220460931605207,1.0002513029524312e-08,1.0002513029524311,0.005219149343965889,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.2077694600846987,70,150,21,1.8705287846205972e-08,1.0002513029524312e-08,1.0002513029524311,1.8700588333145653e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
0.0,0,500,c20_min,6,2.158051824968703,71,150,21,0.011429329673118436,1.0002513029524312e-08,1.0002513029524311,0.011426458170444373,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.158051824968703,71,150,21,2.689072679637472e-08,1.0002513029524312e-08,1.0002513029524311,2.6883970775145855e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.1104525524371605,72,150,21,1.0638642841863316e-07,1.0002513029524312e-08,1.0002513029524311,1.0635969991202557e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.06485878172306,73,150,21,6.398527714746837e-07,1.0002513029524312e-08,1.0002513029524311,6.39692014982672e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,2.02116520569733,74,150,21,0.0058081912356243185,1.0002513029524312e-08,1.0002513029524311,0.005806731986732076,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,1.9792734754579924,75,150,21,0.09703470905261427,1.0002513029524312e-08,1.0002513029524311,0.0970103300702513,"$N_\mu=200, J_{\max}=600, 21$ nulls"
2.0,1,500,c20_min,6,1.9390916590666494,76,150,21,1.1360348226317734e-06,1.0002513029524312e-08,1.0002513029524311,1.1357494054529612e-06,"$N_\mu=200, J_{\max}=600, 21$ nulls"
6.0,3,500,c20_min,6,1.068824945665997,125,150,21,3.5890614765506704e-07,1.0002513029524312e-08,1.0002513029524311,3.588159761408834e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
6.0,3,500,c20_min,6,1.0630927178731968,126,150,21,1.534629764125114e-07,1.0002513029524312e-08,1.0002513029524311,1.5342442040268915e-07,"$N_\mu=200, J_{\max}=600, 21$ nulls"
8.0,4,500,c20_min,6,1.038491379314212,131,150,21,1.571275505188964e-08,1.0002513029524312e-08,1.0002513029524311,1.5708807382215316e-08,"$N_\mu=200, J_{\max}=600, 21$ nulls"
0.0,0,500,c20_min,6,1.0000274160688642,149,150,21,1.0002513029524311,1.0002513029524312e-08,1.0002513029524311,1.0,"$N_\mu=200, J_{\max}=600, 21$ nulls"
4.0,2,500,c20_min,6,1.0000274160688642,149,150,21,3.844317588108437e-06,1.0002513029524312e-08,1.0002513029524311,3.843351742468323e-06,"$N_\mu=200, J_{\max}=600, 21$ nulls"
